id_venda,produto,quantidade,preco_unitario
0974,Mouse,10,94.50
0975,Headset,6,262.50
0976,Webcam,-3,320.00
0977,SSD,1,504.00
0978,Memoria RAM,7,350.00
0979,HD Externo,10,399.00
0980,Impressora,8,850.00
0981,Notebook,9,4275.00
0982,Monitor,1,1200.00
0983,Teclado,9,180.00
0984,Mouse,5,85.50
0985,Headset,7,237.50
0986,Webcam,8,304.00
0987,SSD,9,504.00
0988,Memoria RAM,8,332.50
0989,HD Externo,7,441.00
0990,Impressora,2,892.50
0991,Notebook,10,4275.00
0992,Monitor,4,1260.00
0993,Teclado,2,180.00
0994,Mouse,9,94.50
0995,Headset,10,237.50
0996,Webcam,5,304.00
0997,SSD,4,456.00
0998,Memoria RAM,2,350.00
0999,HD Externo,3,420.00
1000,Impressora,10,807.50
